Name:,Address:,County:,Type:,Capacity,Status:,Closed Date:,License Number,License Status,Licensee Name,Zip,URL,,
PETERS SHELLEY,"778 WOODCREST                                  GAYLORD , MI 49735
                                 Phone: (989) 732-4301",OTSEGO,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF690075794,REGULAR,PETERS SHELLEY,49735,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF690075794,,
PETITE SCHOOL OF KNOWLEDGE,"53300 VAN DYKE                                  SHELBY TOWNSHIP , MI 48316
                                 Phone: (586) 677-8133",MACOMB,CHILD CARE CENTER,27,ACTIVE,N/A,DC500097299,REGULAR,PETITE SCHOOL OF KNOWLEDGE,48316,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC500097299,,
PETOSKEY CHILDREN'S NURS INC,"1804 E MITCHELL RD                                  PETOSKEY , MI 49770
                                 Phone: (231) 340-1019",EMMET,CHILD CARE CENTER,20,ACTIVE,N/A,DC240016392,REGULAR,CHILDREN'S NURSERY INC,49770,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC240016392,,
PETOSKEY MONTESSORI CHILDRENS,"1560 E MITCHELL                                  PETOSKEY , MI 49770
                                 Phone: (231) 348-2190",EMMET,CHILD CARE CENTER,54,ACTIVE,N/A,DC240016394,REGULAR,MONTESSORI CHILDRENS HOUSE,49770,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC240016394,,
PETRA GARON,"23501 DEZIEL                                  SAINT CLAIR SHORES , MI 48082
                                 Phone: (586) 296-1317",MACOMB,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF500091732,REGULAR,PETRA GARON,48082,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF500091732,,
PETRICEVIC CHERYL L,"976 S POSEYVILLE RD                                  MIDLAND , MI 48640-8987
                                 Phone: (989) 430-8469",MIDLAND,CHILD CARE GROUP HOME (CAPACITY 7-12),12,CLOSED,10/12/2020,DG560086042,CLOSED,PETRICEVIC CHERYL L,48640-8987,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG560086042,,
"PETTIS, DIXIE","2160 TOMAHAWK TRAIL                                  GAYLORD , MI 49735
                                 Phone: (989) 448-8348",OTSEGO,CHILD CARE GROUP HOME (CAPACITY 7-12),12,ACTIVE,N/A,DG690341937,REGULAR,PETTIS DIXIE,49735,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG690341937,,
PETTY'S FAMILY CARE CENTER,"28 W FOREST AVE.                                  MUSKEGON , MI 49441
                                 Phone: (231) 343-3992",MUSKEGON,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF610402457,REGULAR,"PETTY, PHYLLIS",49441,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF610402457,,
PEWAMO WESTPHALIA ELEMENTARY SCHOOL,"430 W JEFFERSON ST                                  PEWAMO , MI 48873
                                 Phone: (989) 593-3488",IONIA,CHILD CARE CENTER,12,ACTIVE,N/A,DC340400023,REGULAR,PEWAMO WESTPHALIA COMMUNITY SCHOOLS,48873,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC340400023,,
PEYTON'S LEARNING PLACE,"960 TACOMA CT.                                  CLIO , MI 48420
                                 Phone: (810) 640-8281",GENESEE,CHILD CARE CENTER,225,ACTIVE,N/A,DC250402662,REGULAR,ELA DEVINE SCHOOLS HOLDINGS,48420,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC250402662,,
"PEYTON'S LEARNING,  INC.","960 TACOMA CT.                                  CLIO , MI 48420
                                 Phone: (810) 640-8281",GENESEE,CHILD CARE CENTER,225,CLOSED,1/23/2020,DC250322915,CLOSED,"PEYTON'S LEARNING, INC.",48420,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC250322915,,
PFAFF'S DAYCARE,"203 S 3RD STREET                                  HARBOR BEACH , MI 48441
                                 Phone: (989) 479-9509",HURON,CHILD CARE GROUP HOME (CAPACITY 7-12),8,CLOSED,11/21/2020,DG320399145,CLOSED,"PFAFF, VICKI",48441,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG320399145,,
PFENNINGER DAYCARE,"2983 IVANREST AVE SW                                  GRANDVILLE , MI 49418
                                 Phone: (616) 930-2081",KENT,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF410404511,REGULAR,"PFENNINGER, SARAH",49418,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF410404511,,
PFROMM HEAD START (RMS 101-106),"28640 CAMPBELL DRIVE                                  WARREN , MI 48093
                                 Phone: (586) 469-4536",MACOMB,CHILD CARE CENTER,100,CLOSED,8/7/2019,DC500400297,CLOSED,MCCSA - HEAD START,48093,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC500400297,,
PHELPS EARLY CHILDHOOD CENTER,"700 E NORTH STREET                                  ISHPEMING , MI 49849
                                 Phone: (906) 228-6522",MARQUETTE,CHILD CARE CENTER,60,ACTIVE,N/A,DC520383246,REGULAR,ALGER MARQUETTE COMMUNITY ACTION BOARD,49849,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC520383246,,
PHENIX'S DAYCARE,"2445 N STATE ROAD                                  IONIA , MI 48846
                                 Phone: (616) 788-5167",IONIA,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,7/19/2019,DF340395286,CLOSED,"PHENIX, VICTORIA",48846,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF340395286,,
"PHILO, VICTORIA","183 WAXWING CT.                                  CEDAR SPRINGS , MI 49319
                                 Phone: (616) 821-2803",KENT,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF410397107,REGULAR,"PHILO, VICTORIA",49319,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF410397107,,
PHOENIX & FRIENDS (TESSA BROWN),"2364 DARWIN LN                                  SAGINAW , MI 48603
                                 Phone: (989) 522-0597",SAGINAW,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF730411044,ORIGINAL,"BROWN, TESSA",48603,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF730411044,,
PHOENIX CHILD CARE & ACADEMY EAST JACKSON,"345 NORTH DETTMAN                                  JACKSON , MI 49202
                                 Phone: (517) 416-9402",JACKSON,CHILD CARE CENTER,65,ACTIVE,N/A,DC380378239,REGULAR,"PHOENIX CHILD CARE & ACADEMY, INC.",49202,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC380378239,,
PHOENIX CHILD CARE & ACADEMY II,"2511 KIBBY ROAD                                  JACKSON , MI 49203
                                 Phone: (517) 513-8048",JACKSON,CHILD CARE CENTER,64,ACTIVE,N/A,DC380347661,REGULAR,"PHOENIX CHILD CARE & ACADEMY, INC.",49203,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC380347661,,
"PHOENIX CHILD CARE & ACADEMY, INC.","219 WEST PROSPECT STREET                                  JACKSON , MI 49203
                                 Phone: (517) 513-8048",JACKSON,CHILD CARE CENTER,30,ACTIVE,N/A,DC380303293,REGULAR,"PHOENIX CHILD CARE & ACADEMY, INC.",49203,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC380303293,,
PHOENIX EARLY LEARNING CENTER EJE,"4340 WALZ ROAD                                  JACKSON , MI 49201
                                 Phone: (517) 416-9402",JACKSON,CHILD CARE CENTER,46,ACTIVE,N/A,DC380409266,REGULAR,"PHOENIX CHILD CARE & ACADEMY, INC.",49201,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC380409266,,
PHOENIX EARLY LEARNING VCL,"1005 FLOYD AVENUE                                  JACKSON , MI 49203
                                 Phone: (517) 513-8048",JACKSON,CHILD CARE CENTER,60,ACTIVE,N/A,DC380409526,REGULAR,"PHOENIX CHILD CARE & ACADEMY, INC.",49203,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC380409526,,
PHOENIX HOME DAYCARE,"2411 JOSEPH DR                                  STERLING HEIGHTS , MI 48314
                                 Phone: (248) 688-9229",MACOMB,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF500408661,REGULAR,"ARROW, HIBA",48314,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF500408661,,
PHYLISS BANNOW,"29576 M-62 WEST                                  DOWAGIAC , MI 49047
                                 Phone: (269) 782-3010",CASS,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF140272920,REGULAR,"BANNOW, PHYLISS",49047,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF140272920,,
PHYLLIS FRATZKE EARLY CHILDHOOD LRN LABORATORY,"210 LYON NE                                  GRAND RAPIDS , MI 49503
                                 Phone: (616) 234-4004",KENT,CHILD CARE CENTER,110,ACTIVE,N/A,DC410383865,REGULAR,GRAND RAPIDS COMM COLLEGE,49503,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC410383865,,
PHYLLIS HARVEY,"1080 18TH STREET                                  MARYSVILLE , MI 48040
                                 Phone: (810) 841-0885",ST. CLAIR,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF740288473,REGULAR,"HARVEY, PHYLLIS",48040,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF740288473,,
PHYLLIS MANUEL,"5757 CARTAGO DRIVE                                  LANSING , MI 48911
                                 Phone: (517) 763-7035",INGHAM,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF330410779,REGULAR,PHYLLIS MANUEL,48911,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF330410779,,
PICKETTS CHILDCARE,"7324 PATTON                                  DETROIT , MI 48228
                                 Phone: (313) 715-8255",WAYNE,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF820403072,ORIGINAL,"PICKETT, FELICIA",48228,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF820403072,,
PICKFORD WEE WISDOM,"333 S PLEASANT                                  PICKFORD , MI 49774
                                 Phone: (906) 647-6245",CHIPPEWA,CHILD CARE CENTER,20,ACTIVE,N/A,DC170291585,REGULAR,CONSOLIDATED COMMUNITY SCHOOL SERVICES,49774,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC170291585,,
PICKLE'S PLACE,"5686 CAREN DRIVE                                  YPSILANTI , MI 48197
                                 Phone: (734) 320-1465",WASHTENAW,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,2/20/2020,DF810377884,CLOSED,"CASS, DIANA",48197,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF810377884,,
PIED PIPER ACADEMY,"16304 E. STATE FAIR ST                                  DETROIT , MI 48205
                                 Phone: (248) 470-7288",WAYNE,CHILD CARE FAMILY HOME (CAPACITY 1-6),5,CLOSED,1/13/2020,DF820336099,CLOSED,"KAIGLER, CAROL",48205,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF820336099,,
PIERCE ELEMENTARY,"1101 W VERNON DRIVE                                  FLINT , MI 48503
                                 Phone: (810) 760-1386",GENESEE,CHILD CARE CENTER,100,ACTIVE,N/A,DC250378869,REGULAR,FLINT COMMUNITY SCHOOLS,48503,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC250378869,,
PIERCE MIDDLE SCHOOL,"25605 ORANGELAWN                                  REDFORD , MI 48239
                                 Phone: (313) 937-8880",WAYNE,CHILD CARE CENTER,35,ACTIVE,N/A,DC820386776,REGULAR,SOUTH REDFORD PUBLIC SCHOOLS,48239,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC820386776,,
PIERCE PRESCHOOL AND LATCHKEY,"PIERCE ELEMENTARY SC  1829 PIERCE ST                                                                BIRMINGHAM , MI 48009
                                 Phone: (248) 203-4327",OAKLAND,CHILD CARE CENTER,102,ACTIVE,N/A,DC630017413,REGULAR,BIRMINGHAM PUBLIC SCHOOLS,48009,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC630017413,,
"PIETRANGELO, KIMBERLEY","3348 SHERMAN PARK DRIVE                                  SAULT SAINTE MARIE , MI 49783
                                 Phone: (906) 440-8779",CHIPPEWA,CHILD CARE GROUP HOME (CAPACITY 7-12),12,ACTIVE,N/A,DG170399574,REGULAR,PIETRANGELO KIMBERLEY,49783,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG170399574,,
PIGEON CHILDREN'S DISCOVERY CENTER,"6436 PIGEON RD.                                  PIGEON , MI 48755
                                 Phone: (989) 453-2111",HURON,CHILD CARE CENTER,73,ACTIVE,N/A,DC320251466,1ST PROVISIONAL,CHILD CARE OPTIONS INC,48755,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC320251466,,
PILBEAM KATHY,"52716 VINEYARD LANE                                  MATTAWAN , MI 49071
                                 Phone: (269) 668-3043",VAN BUREN,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF800306437,REGULAR,PILBEAM KATHY,49071,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF800306437,,
PINCONNING ACADEMY ECC,"415 ARTHUR STREET                                  PINCONNING , MI 48650
                                 Phone: (989) 308-0548",BAY,CHILD CARE CENTER,20,ACTIVE,N/A,DC090400020,REGULAR,NORTHEAST MICHIGAN COMMUNITY SERVICE AGENCY,48650,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC090400020,,
PINCONNING EARLY CHILDHOOD PROGRAM,"415 ARTHUR ST                                  PINCONNING , MI 48650
                                 Phone: (989) 308-0501",BAY,CHILD CARE CENTER,54,ACTIVE,N/A,DC090019732,REGULAR,PINCONNING AREA SCHOOLS,48650,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC090019732,,
PINCONNING ECC,"204 S. MANITOU                                  PINCONNING , MI 48650
                                 Phone: (989) 879-4155",BAY,CHILD CARE CENTER,18,ACTIVE,N/A,DC090314551,REGULAR,NORTHEAST MICHIGAN COMMUNITY SERVICE AGENCY,48650,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC090314551,,
PINE CREEK PANTHER PAWS PRESCHO,"1184 136TH AVENUE                                  HOLLAND , MI 49424
                                 Phone: (616) 786-1600",OTTAWA,CHILD CARE CENTER,87,ACTIVE,N/A,DC700097324,REGULAR,WEST OTTAWA PUBLIC SCHOOLS,49424,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC700097324,,
PINE KNOB KIDS CONNECTION,"6020 SASHABAW RD                                  CLARKSTON , MI 48348
                                 Phone: (248) 623-4350",OAKLAND,CHILD CARE CENTER,84,ACTIVE,N/A,DC630018928,REGULAR,CLARKSTON COMMUNITY SCHOOLS,48348,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC630018928,,
PINE LAKE LITTLE LEARNERS,"12045 SOUTHGATE DR                                  PLAINWELL , MI 49080
                                 Phone: (269) 680-2727",BARRY,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF080411604,ORIGINAL,"SUBACZ, EMILEE",49080,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF080411604,,
PINE RIDGE CHILD CARE,"3250 REDFORD DRIVE, SE                                  GRAND RAPIDS , MI 49546-7331
                                 Phone: (616) 493-8787",KENT,CHILD CARE CENTER,75,ACTIVE,N/A,DC410023158,REGULAR,FOREST HILLS PUBLIC SCHOOLS,49546-7331,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC410023158,,
PINE RIVER ECC,"107 BREMER STREET                                  TUSTIN , MI 49688
                                 Phone: (231) 829-3234",OSCEOLA,CHILD CARE CENTER,60,ACTIVE,N/A,DC670344733,REGULAR,NORTHEAST MICHIGAN COMMUNITY SERVICE AGENCY,49688,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC670344733,,
PINE RIVER ELEMENTARY,"1894 EAST PINE RIVER                                  MIDLAND , MI 48640
                                 Phone: (989) 631-5121",MIDLAND,CHILD CARE CENTER,50,CLOSED,9/23/2021,DC560405602,CLOSED,BULLOCK CREEK SCHOOLS,48640,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC560405602,,
PINE RIVER LATCHKEY,"3575 KING ROAD                                  CHINA TWP , MI 48054
                                 Phone: (810) 676-1064",ST. CLAIR,CHILD CARE CENTER,36,ACTIVE,N/A,DC740078494,REGULAR,EAST CHINA TWP SCHOOL DISTRICT,48054,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC740078494,,
PINE ROW PRESCHOOL AND CHILDCARE,"13912 W ALBAIN                                  PETERSBURG , MI 49270
                                 Phone: (734) 347-5927",MONROE,CHILD CARE GROUP HOME (CAPACITY 7-12),12,ACTIVE,N/A,DG580408567,REGULAR,"BRUCKNER, AMBER",49270,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG580408567,,
PINE STREET HEAD START,"600 W. MAPLE                                  LANSING , MI 48906
                                 Phone: (517) 485-7012",INGHAM,CHILD CARE CENTER,54,ACTIVE,N/A,DC330310421,REGULAR,"CAPITAL AREA COMMUNITY SERVICES, INC.",48906,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC330310421,,
PINE TRAILS ELEMENTARY-TIGER'S DEN CHILD CARE,"2950 CENTER STREET                                  ALLEGAN , MI 49010
                                 Phone: (269) 673-5379",ALLEGAN,CHILD CARE CENTER,51,CLOSED,8/12/2020,DC030277702,CLOSED,ALLEGAN PUBLIC SCHOOLS,49010,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC030277702,,
PINE TRAILS HEAD START,"2950 CENTER                                  ALLEGAN , MI 49010
                                 Phone: (269) 673-5472",ALLEGAN,CHILD CARE CENTER,60,CLOSED,9/29/2020,DC030285574,CLOSED,ALLEGAN COUNTY RESOURCE DEVELOPMENT COMMITTEE,49010,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC030285574,,
PINECREST CENTER,"1811 PINECREST                                  EAST LANSING , MI 48823
                                 Phone: (517) 333-7819",INGHAM,CHILD CARE CENTER,85,CLOSED,2/14/2020,DC330257960,CLOSED,CITY OF EAST LANSING SCHOOL AGE PROGRAMS,48823,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC330257960,,
PINECREST ELEMENTARY SCHOOL GSRP PRESCHOOL,"1811 PINECREST DRIVE                                  EAST LANSING , MI 48823
                                 Phone: (517) 333-7870",INGHAM,CHILD CARE CENTER,16,CLOSED,9/24/2020,DC330316744,CLOSED,EAST LANSING PUBLIC SCHOOLS,48823,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC330316744,,
PINEWOOD ELEMENTARY,"2405 CHIPPEWA STREET                                  JENISON , MI 49428
                                 Phone: (616) 457-1407",OTTAWA,CHILD CARE CENTER,156,ACTIVE,N/A,DC700285249,REGULAR,JENISON PUBLIC SCHOOLS ECC,49428,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC700285249,,
"PIPER, MARY","11883 CHICKORY                                  GRAND HAVEN , MI 49417
                                 Phone: (616) 846-0418",OTTAWA,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF700270992,REGULAR,"PIPER, MARY",49417,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF700270992,,
PIPPEN PALACE CHILD CARE ACADEMY,"15001 W EIGHT MILE                                  DETROIT , MI 48235
                                 Phone: (313) 342-6320",WAYNE,CHILD CARE CENTER,97,ACTIVE,N/A,DC820095066,REGULAR,PIPPEN JACQUELINE,48235,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC820095066,,
PIRATE'S COVE CHILDCARE & PRESCHOOL,"220 WEST AVENUE                                  JACKSON , MI 49261
                                 Phone: (517) 905-5701",JACKSON,CHILD CARE CENTER,100,ACTIVE,N/A,DC380363348,REGULAR,PIRATE'S COVE CHILDCARE & PRESCHOOL,49261,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC380363348,,
PIRATE'S DEN PRESCHOOL AND DAYCARE,"222 E. LAPEER                                  PECK , MI 48466
                                 Phone: (810) 378-5200",SANILAC,CHILD CARE CENTER,62,ACTIVE,N/A,DC760378511,REGULAR,PECK COMMUNITY SCHOOLS,48466,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC760378511,,
PEARSON TAMMY,"3292 BARRETT SW                                  GRANDVILLE , MI 49418
                                 Phone: (616) 446-3541",KENT,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,4/28/2020,DF410390441,CLOSED,PEARSON TAMMY,49418,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF410390441,,
PITTER PATTER PLAYHOUSE,"28424 64TH AVE                                  LAWTON , MI 49065
                                 Phone: (269) 370-5262",VAN BUREN,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,9/25/2019,DF800396235,CLOSED,"PARKER, KAYLEE",49065,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF800396235,,
PITTER PATTER PLAYHOUSE,"761 S REMPERT RD                                  TAWAS CITY , MI 48763
                                 Phone: (989) 254-3351",IOSCO,CHILD CARE GROUP HOME (CAPACITY 7-12),12,ACTIVE,N/A,DG350410913,ORIGINAL,"PEREGORD, BRIDGETTE",48763,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG350410913,,
"PITTER PATTER PRESCHOOL AND CHILD CARE, FAWNS","107 S BROWNSON AVE                                  KINGSLEY , MI 49649
                                 Phone: (231) 409-5067",GRAND TRAVERSE,CHILD CARE CENTER,45,ACTIVE,N/A,DC280406787,REGULAR,"L WILLIAM CONSULTING, LLC",49649,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC280406787,,
PITTER PATTER PRESCHOOL AND CHILDCARE,"2295 MAIN STREET                                  KINGSLEY , MI 49649
                                 Phone: (231) 263-8330",GRAND TRAVERSE,CHILD CARE CENTER,28,ACTIVE,N/A,DC280390993,REGULAR,"L WILLIAM CONSULTING, LLC",49649,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC280390993,,
PITTSFIELD ESP,"2543 PITTSFIELD BLVD                                  ANN ARBOR , MI 48104
                                 Phone: (734) 994-2300",WASHTENAW,CHILD CARE CENTER,100,ACTIVE,N/A,DC810018931,REGULAR,ANN ARBOR PUBLIC SCHOOLS COMM EDUC & RECREATION,48104,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC810018931,,
PITTSFORD ELEMENTARY HEAD START,"9304 HAMILTON STREET                                  PITTSFORD , MI 49271
                                 Phone: (517) 523-4228",HILLSDALE,CHILD CARE CENTER,36,ACTIVE,N/A,DC300087557,REGULAR,COMMUNITY ACTION AGENCY,49271,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC300087557,,
PLAINFIELD CHILD CARE,"6018 COIT                                  GRAND RAPIDS , MI 49525
                                 Phone: (616) 202-4020",KENT,CHILD CARE CENTER,107,ACTIVE,N/A,DC410395367,REGULAR,"PLAINFIELD DAY CARE, LLC",49525,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC410395367,,
PLAINFIELD HEAD START,"1710 WOODWORTH NE                                  GRAND RAPIDS , MI 49525
                                 Phone: (616) 454-8874",KENT,CHILD CARE CENTER,120,ACTIVE,N/A,DC410383842,REGULAR,MICHIGAN FAMILY RESOURCES,49525,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC410383842,,
PLAINWELL CORNERS PRESCHOOL,"307 E. PLAINWELL STREET                                  PLAINWELL , MI 49080
                                 Phone: (269) 685-3103",ALLEGAN,CHILD CARE CENTER,80,ACTIVE,N/A,DC030023101,REGULAR,PLAINWELL COMM SCHOOLS,49080,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC030023101,,
PLAINWELL GSRP AT COOPER ELEMENTARY,"7559 NORTH 14TH STREET                                  KALAMAZOO , MI 49009
                                 Phone: (269) 512-7745",KALAMAZOO,CHILD CARE CENTER,19,ACTIVE,N/A,DC390364318,REGULAR,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,49009,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC390364318,,
PLAINWELL GSRP AT GILKEY ELEMENTARY,"707 S. WOODHAMS STREET                                  PLAINWELL , MI 49080
                                 Phone: (269) 512-7766",ALLEGAN,CHILD CARE CENTER,18,ACTIVE,N/A,DC030410101,REGULAR,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,49080,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC030410101,,
PLAINWELL GSRP AT STARR ELEMENTARY,"601 SCHOOL DR.                                  PLAINWELL , MI 49080
                                 Phone: (269) 512-7745",ALLEGAN,CHILD CARE CENTER,36,ACTIVE,N/A,DC030292602,REGULAR,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,49080,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC030292602,,
PLAINWELL HEAD START,"623 10TH STREET                                  PLAINWELL , MI 49080
                                 Phone: (269) 685-8217",ALLEGAN,CHILD CARE CENTER,40,ACTIVE,N/A,DC030250859,REGULAR,ALLEGAN COUNTY RESOURCE DEVELOPMENT COMMITTEE,49080,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC030250859,,
PLANET KIDS PREMIER ACADEMY,"5520 CLARKSTON                                  CLARKSTON , MI 48348
                                 Phone: (248) 620-9032",OAKLAND,CHILD CARE CENTER,146,ACTIVE,N/A,DC630312384,1ST PROVISIONAL,"PLANET KIDS PREMIER ACADEMY, LLC",48348,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC630312384,,
PLANTING THE SEED MONTESSORI,"200 CEDARHURST PL                                  DETROIT , MI 48203
                                 Phone: (313) 530-6636",WAYNE,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,10/21/2021,DF820405087,CLOSED,"BOWERS, SARAH",48203,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF820405087,,
PLANTING THE SEED MONTESSORI,"200 CEDARHURST PL                                  DETROIT , MI 48203
                                 Phone: (313) 530-6636",WAYNE,CHILD CARE GROUP HOME (CAPACITY 7-12),12,ACTIVE,N/A,DG820410074,REGULAR,"BOWERS, SARAH",48203,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG820410074,,
"PLATIS, COLLEEN M","43898 LEEANN LANE                                  CANTON , MI 48187
                                 Phone: (734) 207-3865",WAYNE,CHILD CARE GROUP HOME (CAPACITY 7-12),12,CLOSED,4/6/2020,DG820091296,CLOSED,"PLATIS, COLLEEN M",48187,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG820091296,,
PLATYPUS CHILD CARE,"2030 DELAFIELD DR                                  ANN ARBOR , MI 48105
                                 Phone: (734) 904-5849",WASHTENAW,CHILD CARE GROUP HOME (CAPACITY 7-12),12,ACTIVE,N/A,DG810336716,REGULAR,"FITZGERALD, ANGELA",48105,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG810336716,,
